Ingredient,Quantity,Unit,Category,Recipe,Recipe Category,Recipe Difficulty,Calories,Carbohydrates,Proteins,Fats,Vitamins,Minerals,Dietary Preferences,Dietary Restrictions,Health Goals,Rating,Comments,Ingredient Substitutions,Serving Size,Prep Time (mins),Cook Time (mins)
Beef,159,grams,Proteins,Beef Stir-Fry,Dinner,Medium,191,46,14,17,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,2,41,43
Lettuce,84,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,154,29,27,17,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,2,19,43
Potato,195,cups,Grains,Mashed Potatoes,Side Dish,Medium,429,10,12,46,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,3,36,40
Carrot,89,pieces,Vegetables,Carrot Soup,Soup,Medium,268,38,48,17,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,2,37,113
Onion,130,slices,Vegetables,Onion Rings,Snack,Medium,178,33,34,45,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,4,22,29
Chicken,192,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,447,34,26,25,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,1,16,25
Broccoli,68,ounces,Vegetables,Broccoli Salad,Lunch,Medium,464,25,9,37,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,1,53,73
Rice,152,cups,Grains,Tomato Soup,Soup,Medium,126,42,44,46,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,3,48,94
Tomato,174,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,269,32,37,45,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,4,6,42
Spinach,177,slices,Dairy,Rice Pilaf,Snack,Hard,139,35,15,9,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,1,35,24
Beef,53,grams,Proteins,Beef Stir-Fry,Dinner,Medium,368,9,13,21,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,2,22,33
Lettuce,191,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,262,22,47,10,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,4,19,87
Potato,198,cups,Grains,Mashed Potatoes,Side Dish,Medium,330,5,14,12,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,2,6,79
Carrot,143,pieces,Vegetables,Carrot Soup,Soup,Medium,214,19,29,45,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,2,25,109
Onion,130,slices,Vegetables,Onion Rings,Snack,Medium,372,27,21,45,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,3,13,52
Chicken,189,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,151,34,40,22,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,3,31,119
Broccoli,128,ounces,Vegetables,Broccoli Salad,Lunch,Medium,421,34,46,47,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,1,50,67
Rice,112,cups,Grains,Tomato Soup,Soup,Medium,171,23,42,30,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,3,60,10
Tomato,61,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,169,17,7,23,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,1,16,28
Spinach,120,slices,Dairy,Rice Pilaf,Snack,Hard,315,15,40,21,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,1,59,104
Beef,173,grams,Proteins,Beef Stir-Fry,Dinner,Medium,414,41,36,42,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,2,55,106
Lettuce,83,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,116,24,36,21,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,1,28,100
Potato,103,cups,Grains,Mashed Potatoes,Side Dish,Medium,222,31,26,11,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,1,57,62
Carrot,82,pieces,Vegetables,Carrot Soup,Soup,Medium,491,22,44,49,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,56,101
Onion,103,slices,Vegetables,Onion Rings,Snack,Medium,169,7,16,41,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,4,21,67
Chicken,114,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,135,50,15,49,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,1,16,48
Broccoli,197,ounces,Vegetables,Broccoli Salad,Lunch,Medium,283,45,29,19,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,2,25,120
Rice,144,cups,Grains,Tomato Soup,Soup,Medium,480,19,7,46,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,4,11,82
Tomato,70,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,377,19,10,19,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,1,59,112
Spinach,177,slices,Dairy,Rice Pilaf,Snack,Hard,451,22,34,13,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,3,50,47
Beef,181,grams,Proteins,Beef Stir-Fry,Dinner,Medium,359,8,9,7,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,4,45,95
Lettuce,112,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,487,6,30,15,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,3,58,23
Potato,87,cups,Grains,Mashed Potatoes,Side Dish,Medium,344,34,8,47,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,3,6,59
Carrot,85,pieces,Vegetables,Carrot Soup,Soup,Medium,314,18,32,34,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,4,48,31
Onion,153,slices,Vegetables,Onion Rings,Snack,Medium,132,49,14,38,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,3,42,59
Chicken,132,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,251,44,18,36,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,1,41,62
Broccoli,53,ounces,Vegetables,Broccoli Salad,Lunch,Medium,411,15,41,21,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,2,42,47
Rice,51,cups,Grains,Tomato Soup,Soup,Medium,194,17,14,16,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,4,58,64
Tomato,133,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,161,34,44,19,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,4,43,54
Spinach,96,slices,Dairy,Rice Pilaf,Snack,Hard,236,43,48,21,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,2,46,99
Beef,173,grams,Proteins,Beef Stir-Fry,Dinner,Medium,291,39,21,31,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,1,32,99
Lettuce,52,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,248,15,8,18,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,3,9,38
Potato,124,cups,Grains,Mashed Potatoes,Side Dish,Medium,404,44,39,46,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,1,56,55
Carrot,99,pieces,Vegetables,Carrot Soup,Soup,Medium,174,6,18,31,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,1,58,36
Onion,123,slices,Vegetables,Onion Rings,Snack,Medium,352,32,25,46,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,1,48,12
Chicken,50,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,124,36,13,46,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,4,15,21
Broccoli,160,ounces,Vegetables,Broccoli Salad,Lunch,Medium,388,46,34,44,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,2,31,36
Rice,95,cups,Grains,Tomato Soup,Soup,Medium,495,39,41,42,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,2,18,44
Tomato,189,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,234,25,35,5,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,4,50,105
Spinach,179,slices,Dairy,Rice Pilaf,Snack,Hard,492,48,33,46,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,1,18,46
Beef,172,grams,Proteins,Beef Stir-Fry,Dinner,Medium,190,28,43,7,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,1,59,51
Lettuce,139,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,332,9,32,12,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,2,59,21
Potato,144,cups,Grains,Mashed Potatoes,Side Dish,Medium,443,20,15,46,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,3,31,76
Carrot,116,pieces,Vegetables,Carrot Soup,Soup,Medium,262,10,36,33,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,2,46,104
Onion,121,slices,Vegetables,Onion Rings,Snack,Medium,492,27,6,15,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,1,27,94
Chicken,113,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,155,35,21,39,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,2,22,21
Broccoli,128,ounces,Vegetables,Broccoli Salad,Lunch,Medium,212,36,49,5,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,1,39,86
Rice,167,cups,Grains,Tomato Soup,Soup,Medium,436,9,38,25,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,3,8,85
Tomato,139,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,438,39,22,43,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,1,10,106
Spinach,139,slices,Dairy,Rice Pilaf,Snack,Hard,359,20,47,38,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,2,22,97
Beef,151,grams,Proteins,Beef Stir-Fry,Dinner,Medium,268,14,38,27,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,2,37,83
Lettuce,54,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,470,32,10,32,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,3,39,14
Potato,121,cups,Grains,Mashed Potatoes,Side Dish,Medium,202,33,8,33,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,1,32,106
Carrot,167,pieces,Vegetables,Carrot Soup,Soup,Medium,108,48,34,24,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,3,42,53
Onion,79,slices,Vegetables,Onion Rings,Snack,Medium,489,19,40,17,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,3,40,107
Chicken,92,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,347,16,6,18,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,4,31,94
Broccoli,140,ounces,Vegetables,Broccoli Salad,Lunch,Medium,403,37,46,50,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,4,21,82
Rice,85,cups,Grains,Tomato Soup,Soup,Medium,232,37,43,13,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,3,35,76
Tomato,134,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,234,35,42,9,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,3,32,72
Spinach,59,slices,Dairy,Rice Pilaf,Snack,Hard,243,16,21,24,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,1,27,52
Beef,58,grams,Proteins,Beef Stir-Fry,Dinner,Medium,351,21,33,33,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,1,12,23
Lettuce,66,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,260,48,18,37,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,2,51,103
Potato,163,cups,Grains,Mashed Potatoes,Side Dish,Medium,328,49,11,6,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,4,41,78
Carrot,85,pieces,Vegetables,Carrot Soup,Soup,Medium,440,36,21,11,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,3,49,90
Onion,181,slices,Vegetables,Onion Rings,Snack,Medium,150,30,8,20,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,53,66
Chicken,181,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,254,22,35,12,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,1,18,16
Broccoli,196,ounces,Vegetables,Broccoli Salad,Lunch,Medium,483,6,5,40,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,2,5,109
Rice,104,cups,Grains,Tomato Soup,Soup,Medium,167,25,7,12,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,2,54,11
Tomato,185,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,468,14,13,29,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,4,33,16
Spinach,130,slices,Dairy,Rice Pilaf,Snack,Hard,205,33,23,36,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,3,39,97
Beef,200,grams,Proteins,Beef Stir-Fry,Dinner,Medium,387,22,5,13,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,4,42,30
Lettuce,75,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,211,15,38,39,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,3,47,49
Potato,87,cups,Grains,Mashed Potatoes,Side Dish,Medium,160,13,15,41,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,1,37,21
Carrot,165,pieces,Vegetables,Carrot Soup,Soup,Medium,402,49,16,41,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,1,40,13
Onion,175,slices,Vegetables,Onion Rings,Snack,Medium,201,33,42,28,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,3,44,17
Chicken,172,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,108,30,28,27,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,3,48,20
Broccoli,81,ounces,Vegetables,Broccoli Salad,Lunch,Medium,172,33,32,25,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,4,36,65
Rice,121,cups,Grains,Tomato Soup,Soup,Medium,319,44,16,11,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,4,36,33
Tomato,67,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,174,10,35,8,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,1,24,79
Spinach,168,slices,Dairy,Rice Pilaf,Snack,Hard,153,45,9,50,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,4,26,52
Beef,164,grams,Proteins,Beef Stir-Fry,Dinner,Medium,242,41,34,47,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,1,18,85
Lettuce,167,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,445,48,5,33,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,3,27,86
Potato,81,cups,Grains,Mashed Potatoes,Side Dish,Medium,290,7,11,35,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,1,35,66
Carrot,166,pieces,Vegetables,Carrot Soup,Soup,Medium,406,50,10,27,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,2,51,118
Onion,128,slices,Vegetables,Onion Rings,Snack,Medium,473,49,30,36,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,1,34,101
Chicken,147,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,412,37,15,47,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,4,45,108
Broccoli,142,ounces,Vegetables,Broccoli Salad,Lunch,Medium,105,50,43,14,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,4,31,47
Rice,110,cups,Grains,Tomato Soup,Soup,Medium,382,24,39,8,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,1,54,17
Tomato,178,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,314,5,14,17,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,2,54,52
Spinach,184,slices,Dairy,Rice Pilaf,Snack,Hard,402,22,24,24,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,1,47,13
Beef,150,grams,Proteins,Beef Stir-Fry,Dinner,Medium,267,45,29,30,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,2,17,78
Lettuce,172,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,164,24,23,26,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,2,58,89
Potato,182,cups,Grains,Mashed Potatoes,Side Dish,Medium,464,24,29,25,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,4,8,64
Carrot,52,pieces,Vegetables,Carrot Soup,Soup,Medium,151,16,44,28,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,3,28,98
Onion,85,slices,Vegetables,Onion Rings,Snack,Medium,334,18,8,27,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,3,16,75
Chicken,176,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,292,25,15,15,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,3,54,86
Broccoli,188,ounces,Vegetables,Broccoli Salad,Lunch,Medium,229,34,49,23,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,2,30,101
Rice,129,cups,Grains,Tomato Soup,Soup,Medium,181,14,33,6,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,2,24,100
Tomato,115,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,479,13,20,39,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,3,45,68
Spinach,134,slices,Dairy,Rice Pilaf,Snack,Hard,156,32,10,29,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,4,36,96
Beef,80,grams,Proteins,Beef Stir-Fry,Dinner,Medium,279,40,46,43,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,1,38,99
Lettuce,130,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,216,48,50,13,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,31,74
Potato,126,cups,Grains,Mashed Potatoes,Side Dish,Medium,399,15,5,16,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,1,35,104
Carrot,172,pieces,Vegetables,Carrot Soup,Soup,Medium,219,22,15,49,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,3,37,60
Onion,129,slices,Vegetables,Onion Rings,Snack,Medium,499,12,26,18,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,2,19,35
Chicken,184,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,422,18,31,39,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,4,33,117
Broccoli,63,ounces,Vegetables,Broccoli Salad,Lunch,Medium,318,23,29,9,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,3,24,89
